name,category,grade,price_source,usd_price,cc_floor_usd,cc_listings,vaulted_onchain,identifier
1993 Weakness PSA 9 Magic The Gathering MTG Alpha,Magic The Gathering,PSA MINT 9,"manual (operator-attested, seeded from Collector Crypt)",240,230,4,0,card:1993|Magic the Gathering|#|PSA|MINT 9
2024 #80 Textured Foil Mindslaver CGC 10 Magic The Gathering MTG Breaking News,Magic The Gathering,CGC Trading Cards Pristine 10,"manual (operator-attested, seeded from Collector Crypt)",132,115,5,0,card:2024|Breaking News - English|#80|CGC Trading Cards|Pristine 10
2022 #007 Nami PSA 10 One Piece Starter Deck ST01-Straw Hat Crew,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",299.5,250,4,74,card:2022|One Piece Starter Deck ST01-Straw Hat Crew|#007|PSA|GEM-MT 10
2022 #ST01-006 Tony Tony Chopper CGC 10 Pristine Premium Collection 25th Anniversary - Japanese,One Piece,CGC PRISTINE 10,"manual (operator-attested, seeded from Collector Crypt)",140,100,4,16,card:2022|Premium Collection 25th Anniversary - Japanese|#ST01-006|CGC|PRISTINE 10
2023 #ST01-007 Nami CGC 10 Premium Collection FILM RED (Foil) - English,One Piece,CGC GEM MINT 10,"manual (operator-attested, seeded from Collector Crypt)",175,160,4,0,card:2023|Premium Collection FILM RED (Foil) - English|#ST01-007|CGC|GEM MINT 10
2023 #ST01-007 Nami CGC 10 Pristine Premium Collection FILM RED (Foil) - English,One Piece,CGC PRISTINE 10,"manual (operator-attested, seeded from Collector Crypt)",260,140,5,0,card:2023|Premium Collection FILM RED (Foil) - English|#ST01-007|CGC|PRISTINE 10
2024 #006 Monkey D. Luffy PSA 10 One Piece Promos,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",250,175,6,151,card:2024|One Piece Promos|#006|PSA|GEM-MT 10
2024 #043 Monkey D. Luffy PSA 10 One Piece Promos,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",275,190,10,260,card:2024|One Piece Promos|#043|PSA|GEM-MT 10
2024 #109 Monkey D. Luffy PSA 10 One Piece OP07-500 Years in the Future,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",260,200,5,22,card:2024|One Piece OP07-500 Years in the Future|#109|PSA|GEM-MT 10
2024 #ST03-013 Boa Hancock CGC 10 Pristine Premium Collection Best Selection Vol.2 - English,One Piece,CGC PRISTINE 10,"manual (operator-attested, seeded from Collector Crypt)",150,110,8,0,card:2024|Premium Collection Best Selection Vol.2 - English|#ST03-013|CGC|PRISTINE 10
2024 #ST10-006 Monkey D. Luffy SR Treasure Booster CGC 10 Pristine Promotional Cards - English,One Piece,CGC PRISTINE 10,"manual (operator-attested, seeded from Collector Crypt)",130,100,7,0,card:2024|Promotional Cards - English|#ST10-006|CGC|PRISTINE 10
2025 #001 Monkey D. Luffy PSA 10 One Piece Starter Deck ST21-EX Gear 5,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",444.5,260,4,23,card:2025|One Piece Starter Deck ST21-EX Gear 5|#001|PSA|GEM-MT 10
2025 #070 Carrot PSA 10 One Piece Championship 2025-26 Event Pack,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",260,240,5,0,card:2025|One Piece Championship 2025-26 Event Pack|#070|PSA|GEM-MT 10
2025 #080 Gear Two PSA 10 One Piece OP11-A Fist of Divine Speed,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",745,650,4,20,card:2025|One Piece OP11-A Fist of Divine Speed|#080|PSA|GEM-MT 10
2025 #113 Jewelry Bonney PSA 10 One Piece Japanese Mini-Tin Pack Set Vol.2,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",260,260,6,94,card:2025|One Piece Japanese Mini-Tin Pack Set Vol.2|#113|PSA|GEM-MT 10
2025 #118 Monkey D. Luffy PSA 10 OP11-A Fist of Divine Speed One Piece,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",3000,116,9,30,card:2025|One Piece OP11-A Fist of Divine Speed|#118|PSA|GEM-MT 10
2025 #118 Sabo PSA 10 One Piece OP13-Carrying on His Will,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",260,230,5,64,card:2025|One Piece OP13-Carrying on His Will|#118|PSA|GEM-MT 10
2025 #119 Portgas D. Ace PSA 10 One Piece OP13-Carrying on His Will,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",300,135,7,39,card:2025|One Piece OP13-Carrying on His Will|#119|PSA|GEM-MT 10
2025 #120 Sabo PSA 10 One Piece Japanese OP13-Carrying on His Will,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",260,255,8,18,card:2025|One Piece Japanese OP13-Carrying on His Will|#120|PSA|GEM-MT 10
2025 #120 Sabo PSA 10 One Piece OP13-Carrying on His Will,One Piece,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",217.5,135,4,36,card:2025|One Piece OP13-Carrying on His Will|#120|PSA|GEM-MT 10
2025 #OP09-070 Nami CGC 10 Pristine Premium Collection Best Selection Vol.4 - Japanese,One Piece,CGC PRISTINE 10,"manual (operator-attested, seeded from Collector Crypt)",260,260,4,1,card:2025|Premium Collection Best Selection Vol.4 - Japanese|#OP09-070|CGC|PRISTINE 10
2025 #P-072 Ryuma CGC 10 Pristine Premium Collection Best Selection Vol.3 - English,One Piece,CGC PRISTINE 10,"manual (operator-attested, seeded from Collector Crypt)",260,260,9,0,card:2025|Premium Collection Best Selection Vol.3 - English|#P-072|CGC|PRISTINE 10
2025 #P-110 Monkey D. Luffy CGC 10 Pristine Premium Collection One Piece Day'25 - Japanese,One Piece,CGC PRISTINE 10,"manual (operator-attested, seeded from Collector Crypt)",300,295,4,2,card:2025|Premium Collection One Piece Day'25 - Japanese|#P-110|CGC|PRISTINE 10
2025 #ST21014 Monkey.D.Luffy SR/(ONE PIECE magazine Vol.20 Shonen Jump x One Piece 20th Anniversary Special Issue Insert) BGS 9.5 One Piece Card Game Promos Japanese,One Piece,Beckett 9.5-GEM MINT,"manual (operator-attested, seeded from Collector Crypt)",260,240,4,4,card:2025|One Piece Card Game Promos Japanese|#ST21014|Beckett|9.5-GEM MINT
2026 #P-106 Monkey D. Luffy CGC 10 Pristine Tournament Promos - Japanese,One Piece,CGC PRISTINE 10,"manual (operator-attested, seeded from Collector Crypt)",260,260,5,0,card:2026|Tournament Promos - Japanese|#P-106|CGC|PRISTINE 10
1999 #15 Venusaur-Holo PSA 6 Game Pokemon,Pokemon,PSA EX-MT 6,"manual (operator-attested, seeded from Collector Crypt)",129.5,105,4,7,card:1999|Pokemon Game|#15|PSA|EX-MT 6
2019 #68 Full Art/Jessie & James PSA 10 Sun & Moon Hidden Fates,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",317.5,200,4,3,card:2019|Pokemon Sun & Moon Hidden Fates|#68|PSA|GEM-MT 10
2019 #SM210 Full Art/Moltres & Zapdos & Articuno GX PSA 10 SM Black Star Promo Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",415,389,9,7,card:2019|Pokemon SM Black Star Promo|#SM210|PSA|GEM-MT 10
2021 #184 Full Art/Sylveon V PSA 10 Sword & Shield Evolving Skies,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",414.5,408,4,1,card:2021|Pokemon Sword & Shield Evolving Skies|#184|PSA|GEM-MT 10
2021 #203 Full Art/Ice Rider Calyrex Vmax PSA 10 Sword & Shield Chilling Reign Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",120,110,4,1,card:2021|Pokemon Sword & Shield Chilling Reign|#203|PSA|GEM-MT 10
2021 #SV107 Full Art/Charizard Vmax PSA 10 Sword & Shield Shining Fates,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",350,280,5,8,card:2021|Pokemon Sword & Shield Shining Fates|#SV107|PSA|GEM-MT 10
2022 #167 Full Art/Origin Forme Palkia V PSA 10 Sword & Shield Astral Radiance Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",379.5,340,4,2,card:2022|Pokemon Sword & Shield Astral Radiance|#167|PSA|GEM-MT 10
2022 #TG06 Full Art/Gengar PSA 9 Sword & Shield Lost Origin Pokemon,Pokemon,PSA MINT 9,"manual (operator-attested, seeded from Collector Crypt)",133,105,5,1,card:2022|Pokemon Sword & Shield Lost Origin|#TG06|PSA|MINT 9
2023 #007 Squirtle PSA 10 Japanese Sv2a- 151 Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",150,108,6,1,card:2023|Pokemon Japanese Sv2a-Pokemon 151|#007|PSA|GEM-MT 10
2023 #053 Mew EX PSA 9 Svp EN-SV Black Star Promo Pokemon,Pokemon,PSA MINT 9,"manual (operator-attested, seeded from Collector Crypt)",215,150,6,12,card:2023|Pokemon Svp EN-SV Black Star Promo|#053|PSA|MINT 9
2023 #198 Venusaur EX PSA 10 Mew EN-151 Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",550,470,4,10,card:2023|Pokemon Mew EN-151|#198|PSA|GEM-MT 10
2023 #199 Charizard EX PSA 9 Mew EN-151 Pokemon,Pokemon,PSA MINT 9,"manual (operator-attested, seeded from Collector Crypt)",450,405,6,12,card:2023|Pokemon Mew EN-151|#199|PSA|MINT 9
2023 #201 Alakazam EX PSA 10 Mew EN-151 Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",400,349,4,4,card:2023|Pokemon Mew EN-151|#201|PSA|GEM-MT 10
2023 #291 Full Art/Lucario Vstar CGC 10 Pristine Swsh Black Star Promo Pokemon,Pokemon,CGC PRISTINE 10,"manual (operator-attested, seeded from Collector Crypt)",230,185,8,0,card:2023|Black Star Promos - Sword & Shield - English|#SWSH291|CGC|PRISTINE 10
2023 #331 Charizard EX PSA 10 Japanese Sv4a-Shiny Treasure EX Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",120.5,105,4,3,card:2023|Pokemon Japanese Sv4a-Shiny Treasure EX|#331|PSA|GEM-MT 10
2023 #GG45 Full Art/Deoxys Vmax PSA 10 Sword and Shield Crown Zenith Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",240,199,4,5,card:2023|Pokemon Sword and Shield Crown Zenith|#GG45|PSA|GEM-MT 10
2024 #131 Kingdra EX PSA 10 Svp EN-SV Black Star Promo Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",399.5,399,4,6,card:2024|Pokemon Svp EN-SV Black Star Promo|#131|PSA|GEM-MT 10
2024 #159 Magneton PSA 10 Svp EN-SV Black Star Promo Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",260,145,6,6,card:2024|Pokemon Svp EN-SV Black Star Promo|#159|PSA|GEM-MT 10
2024 #188 Eevee PSA 9 Twm EN-Twilight Masquerade Pokemon,Pokemon,PSA MINT 9,"manual (operator-attested, seeded from Collector Crypt)",147.5,100,4,1,card:2024|Pokemon Twm EN-Twilight Masquerade|#188|PSA|MINT 9
2024 #206 Glaceon EX PSA 10 Japanese Sv8a-Terastal Fest EX Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",220,179,4,6,card:2024|Pokemon Japanese Sv8a-Terastal Fest EX|#206|PSA|GEM-MT 10
2024 #211 Espeon EX PSA 10 Japanese Sv8a-Terastal Fest EX,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",179.5,143,4,4,card:2024|Pokemon Japanese Sv8a-Terastal Fest EX|#211|PSA|GEM-MT 10
2024 #234/091 Charizard ex PSA 9 Paldean Fates - PAF EN - English Pokemon,Pokemon,PSA MINT 9,"manual (operator-attested, seeded from Collector Crypt)",320,300,4,3,card:2024|Pokemon Paf EN-Paldean Fates|#234|PSA|MINT 9
2024 Pokemon Chinese Sword & Shield Shadow Of Glory Holo Radiant Blastoise #15 PSA 10 GEM MINT,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",104.4,104.4,5,10,card:2024|Pokemon Simplified Chinese CS5.5 C-Shadow of Glory|#015|PSA|GEM-MT 10
2025 #173 Ditto PSA 10 Korean SV-P Promo Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",450,361,8,2,card:2025|Pokemon Korean SV-P Promo|#173|PSA|GEM-MT 10
2025 #173 Eevee PSA 10 Svp EN-SV Black Star Promo Pokemon,Pokemon,PSA GEM-MT 10,"manual (operator-attested, seeded from Collector Crypt)",171.29000000000002,141.97,4,19,card:2025|Pokemon Svp EN-SV Black Star Promo|#173|PSA|GEM-MT 10
