"name","kind","category","grade","synth_collection_id","market_pda","onchain_collection","vaulted_copies","image_file","image_source"
"Froganas","nft","NFT collections","","F2yXucogZc98Zm1QhrtZd1THT3WnwkqC1f2xtW5EPsAR","8LjUAj7fLcKF8WNDWKRbMacApvFpkUeLnq5sckiN8LRJ","C7on9fL8YFp5W6M7a6SvehMKBppauZXu2eYDTZG4BN2i","","froganas.png","local"
"Mad Lads","nft","NFT collections","","9vMk6PCT4BtZxxxHJXm6r3vF9KRDRVZXfV7ZxSRXdT3m","HEvnWHuKBznoLehG3ymJM9k7sfNjcAyU36zt8GmiriG1","J1S9H3QjnRtBbbuD4HjPV6RpRhwuk4zKbxsnCHuTgh9w","","mad_lads.png","local"
"Famous Fox Federation","nft","NFT collections","","A31gpTQeX6PxDDNhM6YEL3nqeRoQcoHsPGD9qUR2dSY9","B3tfHLWgrXQPmfmkiktgiCvvWeWKqoavvYHWLr5SRGZL","BUjZjAS2vbbb65g7Z1Ca9ZRVYoJscURG5L3AkVvHP9ac","","famous_fox_federation.png","local"
"Tensorians","nft","NFT collections","","repN7xetBWuPnw2S7ZV2EjdqcEfk6XSDbKnFbv8bFwG","EvSwvJNNkEVUYZ5BryXZj5SN6y3TQJL8kkjYiwJKTw3A","5PA96eCFHJSFPY9SWFeRJUHrpoNF5XZL6RrE1JADXhxf","","tensorians.png","local"
"Bodoggos","nft","NFT collections","","3BmXpufUMuc1MMXdDPzVoceyQenqr7H74Lkxpg25iqBe","CPJC35ZhZKKsnzfCt5G7zKRyTHntjbmrPkdKpnKrPqj5","69k55dCTwiUPNgaTZ8FVMADorTvEGJEGuAGEB7m1qB1S","","bodoggos.png","local"
"Claynosaurz","nft","NFT collections","","EnzqiJd7fMN7kthJ7b6ikKuxxB6Ta3k62E48XDjAC9VT","3BSYzmWyU7FDBGuJkYAcWzCe6cLFJLfgETrTsMY8qKit","6mszaj17KSfVqADrQj3o4W3zoLMTykgmV37W4QadCczK","","magiceden_claynosaurz.png","onchain"
"Solana Monkey Business","nft","NFT collections","","3Uwj1bYWGALqkvSHjEF9ckcWAK5BvjthR3cutXT7yCy7","92SpsUji8MVZHu93G6mSKbYRziXM4MDjcEZuvL9gKrqn","SMBtHCCC6RYRutFEPb4gZqeBLUZbMNhRKaMKZZLHi7W","","solana_monkey_business.png","local"
"Okay Bears","nft","NFT collections","","FYZe5j83PkeVc5UDxC2LeWpSinWTh5FhzvV2JbCcD7FX","EAMV82Y1sgbRjZQ5vMLwmsUcQPHhWZe6NJ8mrucVvdcV","3saAedkM9o5g1u5DCqsuMZuC4GRqPB4TuMkvSsSVvGQ3","","okay_bears.png","local"
"Transdimensional Fox Federation","nft","NFT collections","","4A9jnm5vEgeLP2185SLwL1CstR3wBPP3CJkm9GARFXYw","DSv9beQYzMBaHDTufx6V8yQvDRnnS5tVjuWHJnVwxy9S","HbPtffcEzzSzZ1VJaTjaAJqTUQpfNeMkPqNG81dWE2Bi","","transdimensional_fox_federation.png","local"
"Aurory","nft","NFT collections","","3nSc7qSi8oZrtwGUv63xpMxKVeBEJD2HeJcTqWx7jQzw","CeGJEW2u5F2MR275GNATH8PKXdMWqhMD2mLR4aRrJvaU","GWuSqaw2aqob4KeFyKgDKnLWre4ZjV8FHSPR2W3c4xJr","","aurory.png","local"
"Smb Gen3","nft","NFT collections","","5AigaHxi9CJrUgVAdPqn1ojkhqg4SBTpYSkDmctnTpRd","DFv5jCdgy8r4A2mYxwDNJ2TWsYDiKGp9pU2gsPxmXUwu","8Rt3Ayqth4DAiPnW9MDFi63TiQJHmohfTWLMQFHi4KZH","","smb_gen3.png","local"
"2024 #043 Monkey D. Luffy PSA 10 One Piece Promos","card","One Piece","PSA GEM-MT 10","CFw5UqszABbQt9WFt6rwkbLN9bxbGeciej9QoNqatft7","HX6GYpREuTJUPPhpo93deS6GCD86EyCR4veb3FRd9iuQ","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","260","2024_One_Piece_Promos_043_PSA_GEM-MT_10.png","local"
"BLACK ILLUSION RITUAL MRL-051 MAGIC RULER | 1ST EDITION 2002 PSA 10","card","Yu-Gi-Oh!","PSA GEM-MT 10","49C1xxQPm1tqqRpUDMFYrmZBDhBqJe6Pe4i55YXQizRh","FUmwU7uzvT7Dzn7FFWyGncQY8CMWvyLJj3UPyVvUkSix","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","0","Black_Illusion_Ritual.jpg","local"
"2019 #SM210 Full Art/Moltres & Zapdos & Articuno GX PSA 10 SM Black Star Promo Pokemon","card","Pokemon","PSA GEM-MT 10","6qWxFufTFdhVoyivq4dAQgvFesaENGF4kZ4spGtPZGv5","EQjrobMkjH5JxSXHDFWrqU6Z8bYPqpeKByNfR2uXz9Tt","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","7","2019_Pokemon_SM_Black_Star_Promo_SM210_PSA_GEM-MT_10.png","local"
"2025 #118 Monkey D. Luffy PSA 10 OP11-A Fist of Divine Speed One Piece","card","One Piece","PSA GEM-MT 10","FYmLcDFfqxJZVL3PgJYMKyzPXEmzQiTqvU5Pu8aU5kcq","Bz8cEpbumb571xtNQn6BfWWt9zGtNPt8Eedm562Zg5V6","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","30","2025_One_Piece_OP11-A_Fist_of_Divine_Speed_118_PSA_GEM-MT_10.jpg","local"
"2025 #P-072 Ryuma CGC 10 Pristine Premium Collection Best Selection Vol.3 - English","card","One Piece","CGC PRISTINE 10","7J7iKgc68aRRiWNZamNGAH1YzYimGxf8DYFQBZSN8fyD","Yx4xTrcYaQ8t8xvnmJhp3opbjmXfgGXMFiPGLhkPkdg","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","0","2025_Premium_Collection_Best_Selection_Vol_3_-_English_P-072_CGC_PRISTINE_10.png","local"
"2025 #120 Sabo PSA 10 One Piece Japanese OP13-Carrying on His Will","card","One Piece","PSA GEM-MT 10","4JQXRecgh5tLCwRC6zQvW6HK3NiSGerjwiMRM3YoXvLY","4LrExBUcGXq3zBkpwSZxGSP8XbvznuVb14BvZiXxRCBL","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","18","2025_One_Piece_Japanese_OP13-Carrying_on_His_Will_120_PSA_GEM-MT_10.jpg","local"
"2025 #173 Ditto PSA 10 Korean SV-P Promo Pokemon","card","Pokemon","PSA GEM-MT 10","3ZZ6FVSqZFneFbFrrx8zBaqQgyKqmbA1JfJ7XKu7xDbN","5wiTuwvhtd79SXikJbYkzZhHPR3j74r3P7WCd5YwHMqw","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","2","card_2025_Pokemon_Korean_SV_P_Promo_173_PSA_GEM_MT_10.jpg","onchain"
"2024 #ST03-013 Boa Hancock CGC 10 Pristine Premium Collection Best Selection Vol.2 - English","card","One Piece","CGC PRISTINE 10","7p2NCKuCLxUTr3g1f1GL18BjvuSLYVp9bUJgHcvtrc8z","5yaARCdEayKLsho1KeBgtfLyfeQTxyJnwvZPj5aqN5Wx","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","0","2024_Premium_Collection_Best_Selection_Vol_2_-_English_ST03-013_CGC_PRISTINE_10.jpg","local"
"2023 #291 Full Art/Lucario Vstar CGC 10 Pristine Swsh Black Star Promo Pokemon","card","Pokemon","CGC PRISTINE 10","Dg895qMRtm5NVXxNRaaj5hgWmcsgK5ysoPbMRth3fvKa","3KSFubT8kHACswRxgv7pmAKgfGWF3FScpYKGSNNq2Ys8","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","0","2023_Black_Star_Promos_-_Sword_Shield_-_English_SWSH291_CGC_PRISTINE_10.png","local"
"2024 #ST10-006 Monkey D. Luffy SR Treasure Booster CGC 10 Pristine Promotional Cards - English","card","One Piece","CGC PRISTINE 10","neREQMyj73gKXTfEyDupqvDQ54CkKvDAEXUzCFSjpLp","2JUQEPzFUmjX4hEBMSWw2pEXHyL3dk6E3Th7zk8wGwxe","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","0","2024_Promotional_Cards_-_English_ST10-006_CGC_PRISTINE_10.jpg","local"
"2025 #119 Portgas D. Ace PSA 10 One Piece OP13-Carrying on His Will","card","One Piece","PSA GEM-MT 10","EkoufLQt8uz4nxcYWHHPBxc2E53fEZtJThbf6DgKVoET","5yRVVDcje2avS7erXTUQZz9NjjgFxpsXdAwSBjKGGf43","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","39","2025_One_Piece_OP13-Carrying_on_His_Will_119_PSA_GEM-MT_10.jpg","local"
"2024 #006 Monkey D. Luffy PSA 10 One Piece Promos","card","One Piece","PSA GEM-MT 10","7pAMTvkxjAZFwrRXnWogsvyDy4KK1jPFxdgskjyLUh6","3eZHEu3uHrQdZTxKKS3J1ziy2rpiDDtbrb6uqcuzi2yA","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","151","2024_One_Piece_Promos_006_PSA_GEM-MT_10.png","local"
"2023 #199 Charizard EX PSA 9 Mew EN-151 Pokemon","card","Pokemon","PSA MINT 9","65LM5vTvRgtmfdvpQouyyyeCrjVv3oC5BLKZaPuPECuA","D66hgS3sEABx1p8eECbesdwBtJXYNuU3a5nZAK1LvvJW","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","12","2023_Pokemon_Mew_EN-151_199_PSA_MINT_9.png","local"
"2024 #159 Magneton PSA 10 Svp EN-SV Black Star Promo Pokemon","card","Pokemon","PSA GEM-MT 10","DGtczyn7NzMgne4woxfcHh4gY5TbFTrC2bg3nrdHmvVn","8rqKdpCrymrKuyQcaXaQviKguNWnxS4fyLDqU7ymfUFd","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","6","2024_Pokemon_Svp_EN-SV_Black_Star_Promo_159_PSA_GEM-MT_10.png","local"
"2023 #053 Mew EX PSA 9 Svp EN-SV Black Star Promo Pokemon","card","Pokemon","PSA MINT 9","DRffRDkb1y3LWpxzu6bXBHKR8WtwoU8ukxyLfdB3Cjfu","Bpn85NpCzgfjQLbH8YJyBoHcr6hjsY2tFszTVDeK7MW4","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","12","2023_Pokemon_Svp_EN-SV_Black_Star_Promo_053_PSA_MINT_9.png","local"
"2023 #007 Squirtle PSA 10 Japanese Sv2a- 151 Pokemon","card","Pokemon","PSA GEM-MT 10","2zBUeL2DCThQER4cEWZtoLP5yHeLEznrj6vFRVtsruFE","HBAFsaSYEJsqCnvEfUxCJGNwT7AiJHztsPxAYgRuW3EU","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","1","2023_Pokemon_Japanese_Sv2a-Pokemon_151_007_PSA_GEM-MT_10.png","local"
"2025 #113 Jewelry Bonney PSA 10 One Piece Japanese Mini-Tin Pack Set Vol.2","card","One Piece","PSA GEM-MT 10","2nftuNC7XUNPCYFLtiR3C6ZkzzZbZLBth6r7b5GfSWyL","C6XUVe6yqydiCYdWiR9JFVE4BQqEDUg98tzcoHAMYsCP","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","94","card_2025_One_Piece_Japanese_Mini_Tin_Pack_Set_Vol_2_113_PSA_GEM_MT_10.png","onchain"
"NECROVALLEY PGD-084 PHARAONIC GUARDIAN | 1ST EDITION 2003 PSA 10","card","Yu-Gi-Oh!","PSA GEM-MT 10","L5KgignvWy35ApgYcZ2fkPdnbiNv8SdHJQNj6UWckmw","FuhQmfvxwBmJAPDwV7A1vQPrrzfHpMexqMXQqXpt4Uhk","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","0","Necrovalley.jpg","local"
"2024 Pokemon Chinese Sword & Shield Shadow Of Glory Holo Radiant Blastoise #15 PSA 10 GEM MINT","card","Pokemon","PSA GEM-MT 10","4kSdchqL6q7Ly8cUS9UX3DaQSbrwXnmaf2dmr8LQojEa","D9nJknthcGj1Y3JMBoVMNf5gsXuEusQaNinYkdK9nbCV","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","10","card_2024_Pokemon_Simplified_Chinese_CS5_5_C_Shadow_of_Glory_015_PSA_GEM_MT_10.png","onchain"
"2026 Pokemon Mega Promo First Partner Illustration S1 Full Art Piplup #42 CGC 10 PRISTINE","card","Pokemon","CGC PRISTINE 10","J21RyiAyuBUQezboiLPxnBLZsprcxrdTZdqZ6Zuhrd3j","GR1pyphi1m3EK6bN2ryiyrUsP5bKJR7ELUWauxGCAjnR","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","63","card_2026_Black_Star_Promos_Mega_Evolution_MEP_EN_English_042_CGC_PRISTINE_10.png","onchain"
"2021 #SV107 Full Art/Charizard Vmax PSA 10 Sword & Shield Shining Fates","card","Pokemon","PSA GEM-MT 10","Gae9MPZXsEF73LSbmNtobg175o6MqzX3xjMuVK7Nptev","HSyrbiaB6BLkwPB9Hjxp664rUNygCF7oPRF4QuWt1DR6","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","8","2021_Pokemon_Sword_Shield_Shining_Fates_SV107_PSA_GEM-MT_10.png","local"
"2025 #070 Carrot PSA 10 One Piece Championship 2025-26 Event Pack","card","One Piece","PSA GEM-MT 10","3MbbFg7zhhZ4HmBa3Kg7K6Aq83fxiM8ssEjgNenZCNqf","FcyWrSWcfnvEPceRABxZvdU7xySR6hypG79Cibf2p8rP","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","0","2025_One_Piece_Championship_2025-26_Event_Pack_070_PSA_GEM-MT_10.jpg","local"
"2026 Pokemon Mega Promo First Partner Illustration S1 Full Art Charmander #38 CGC 10 GEM MINT","card","Pokemon","CGC GEM MINT 10","7RLdgWu7okM14GbSzqzkMXFMGAvSsq8Edh1pGo8ekWsP","2Bhjgfsgs3afkC386mK9TTXRMchFW4SE769hpZr2kkPJ","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","66","card_2026_Black_Star_Promos_Mega_Evolution_MEP_EN_English_038_CGC_GEM_MINT_10.png","onchain"
"2025 #118 Sabo PSA 10 One Piece OP13-Carrying on His Will","card","One Piece","PSA GEM-MT 10","Gh7FRSmBwadN6QDGNbo9nmJAr1VMtBmbJvwdfppUFh69","7wNGAwCfrYG9973xQ6Y7EeHgs1SUY9EpS49P1DzJPrjU","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","64","2025_One_Piece_OP13-Carrying_on_His_Will_118_PSA_GEM-MT_10.jpg","local"
"2023 #ST01-007 Nami CGC 10 Pristine Premium Collection FILM RED (Foil) - English","card","One Piece","CGC PRISTINE 10","5arwwowUTR4E6gkwnFGbfdQvB52dxzbVMiDYCn3u1vAA","Fxtg9ugJ1nK1qk6AFhfh3LNvQYmdRu8CB9g9kgZf6P1N","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","0","2023_Premium_Collection_FILM_RED_Foil_-_English_ST01-007_CGC_PRISTINE_10.jpg","local"
"2022 #TG06 Full Art/Gengar PSA 9 Sword & Shield Lost Origin Pokemon","card","Pokemon","PSA MINT 9","BCG8qrs78qHqQpBof2DiLGJuVXNojAHfDL6QQB1qwGzB","6tyqtfQ5mYTi23cphGyh1jEidz7iD5auJ3BLXjW7C6NB","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","1","2022_Pokemon_Sword_Shield_Lost_Origin_TG06_PSA_MINT_9.png","local"
"2024 #80 Textured Foil Mindslaver CGC 10 Magic The Gathering MTG Breaking News","card","Magic The Gathering","CGC Trading Cards Pristine 10","cp21XV7fEiuAY6HjmUqB8x7JiwACTL9fy9ATtGeSq2K","7ZXe5mXKFyCrs6hkkqT9xj3ufF6HYCaJgWMNFYL8ArS1","CCryptUfeFSZ3Fgc9FLeKrhLVAP67FSqi1GuVoj9CRac","0","Mindslaver.jpg","local"
