"name","kind","magic_eden","tensor","solscan_collection","collector_crypt","tcgplayer","ebay_sold","pricecharting"
"Froganas","nft","https://magiceden.io/marketplace/froganas","https://www.tensor.trade/trade/froganas","https://solscan.io/token/C7on9fL8YFp5W6M7a6SvehMKBppauZXu2eYDTZG4BN2i","","","",""
"Mad Lads","nft","https://magiceden.io/marketplace/mad_lads","https://www.tensor.trade/trade/mad_lads","https://solscan.io/token/J1S9H3QjnRtBbbuD4HjPV6RpRhwuk4zKbxsnCHuTgh9w","","","",""
"Famous Fox Federation","nft","https://magiceden.io/marketplace/famous_fox_federation","https://www.tensor.trade/trade/famous_fox_federation","https://solscan.io/token/BUjZjAS2vbbb65g7Z1Ca9ZRVYoJscURG5L3AkVvHP9ac","","","",""
"Tensorians","nft","https://magiceden.io/marketplace/tensorians","https://www.tensor.trade/trade/tensorians","https://solscan.io/token/5PA96eCFHJSFPY9SWFeRJUHrpoNF5XZL6RrE1JADXhxf","","","",""
"Bodoggos","nft","https://magiceden.io/marketplace/bodoggos","https://www.tensor.trade/trade/bodoggos","https://solscan.io/token/69k55dCTwiUPNgaTZ8FVMADorTvEGJEGuAGEB7m1qB1S","","","",""
"Claynosaurz","nft","https://magiceden.io/marketplace/claynosaurz","https://www.tensor.trade/trade/claynosaurz","https://solscan.io/token/6mszaj17KSfVqADrQj3o4W3zoLMTykgmV37W4QadCczK","","","",""
"Solana Monkey Business","nft","https://magiceden.io/marketplace/solana_monkey_business","https://www.tensor.trade/trade/solana_monkey_business","https://solscan.io/token/SMBtHCCC6RYRutFEPb4gZqeBLUZbMNhRKaMKZZLHi7W","","","",""
"Okay Bears","nft","https://magiceden.io/marketplace/okay_bears","https://www.tensor.trade/trade/okay_bears","https://solscan.io/token/3saAedkM9o5g1u5DCqsuMZuC4GRqPB4TuMkvSsSVvGQ3","","","",""
"Transdimensional Fox Federation","nft","https://magiceden.io/marketplace/transdimensional_fox_federation","https://www.tensor.trade/trade/transdimensional_fox_federation","https://solscan.io/token/HbPtffcEzzSzZ1VJaTjaAJqTUQpfNeMkPqNG81dWE2Bi","","","",""
"Aurory","nft","https://magiceden.io/marketplace/aurory","https://www.tensor.trade/trade/aurory","https://solscan.io/token/GWuSqaw2aqob4KeFyKgDKnLWre4ZjV8FHSPR2W3c4xJr","","","",""
"Smb Gen3","nft","https://magiceden.io/marketplace/smb_gen3","https://www.tensor.trade/trade/smb_gen3","https://solscan.io/token/8Rt3Ayqth4DAiPnW9MDFi63TiQJHmohfTWLMQFHi4KZH","","","",""
"2024 #043 Monkey D. Luffy PSA 10 One Piece Promos","card","","","","https://collectorcrypt.com/marketplace?search=2024%20%23043%20Monkey%20D.%20Luffy%20PSA%2010%20One%20Piece%20Promos","https://www.tcgplayer.com/search/all/product?q=2024%20%23043%20Monkey%20D.%20Luffy%20PSA%2010%20One%20Piece%20Promos","https://www.ebay.com/sch/i.html?_nkw=2024%20%23043%20Monkey%20D.%20Luffy%20PSA%2010%20One%20Piece%20Promos&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2024%20%23043%20Monkey%20D.%20Luffy%20PSA%2010%20One%20Piece%20Promos"
"BLACK ILLUSION RITUAL MRL-051 MAGIC RULER | 1ST EDITION 2002 PSA 10","card","","","","https://collectorcrypt.com/marketplace?search=BLACK%20ILLUSION%20RITUAL%20MRL-051%20MAGIC%20RULER%20%7C%201ST%20EDITION%202002%20PSA%2010","https://www.tcgplayer.com/search/all/product?q=BLACK%20ILLUSION%20RITUAL%20MRL-051%20MAGIC%20RULER%20%7C%201ST%20EDITION%202002%20PSA%2010","https://www.ebay.com/sch/i.html?_nkw=BLACK%20ILLUSION%20RITUAL%20MRL-051%20MAGIC%20RULER%20%7C%201ST%20EDITION%202002%20PSA%2010&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=BLACK%20ILLUSION%20RITUAL%20MRL-051%20MAGIC%20RULER%20%7C%201ST%20EDITION%202002%20PSA%2010"
"2019 #SM210 Full Art/Moltres & Zapdos & Articuno GX PSA 10 SM Black Star Promo Pokemon","card","","","","https://collectorcrypt.com/marketplace?search=2019%20%23SM210%20Full%20Art%2FMoltres%20%26%20Zapdos%20%26%20Articuno%20GX%20PSA%2010%20SM%20Black%20Star%20Promo%20Pokemon","https://www.tcgplayer.com/search/all/product?q=2019%20%23SM210%20Full%20Art%2FMoltres%20%26%20Zapdos%20%26%20Articuno%20GX%20PSA%2010%20SM%20Black%20Star%20Promo%20Pokemon","https://www.ebay.com/sch/i.html?_nkw=2019%20%23SM210%20Full%20Art%2FMoltres%20%26%20Zapdos%20%26%20Articuno%20GX%20PSA%2010%20SM%20Black%20Star%20Promo%20Pokemon&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2019%20%23SM210%20Full%20Art%2FMoltres%20%26%20Zapdos%20%26%20Articuno%20GX%20PSA%2010%20SM%20Black%20Star%20Promo%20Pokemon"
"2025 #118 Monkey D. Luffy PSA 10 OP11-A Fist of Divine Speed One Piece","card","","","","https://collectorcrypt.com/marketplace?search=2025%20%23118%20Monkey%20D.%20Luffy%20PSA%2010%20OP11-A%20Fist%20of%20Divine%20Speed%20One%20Piece","https://www.tcgplayer.com/search/all/product?q=2025%20%23118%20Monkey%20D.%20Luffy%20PSA%2010%20OP11-A%20Fist%20of%20Divine%20Speed%20One%20Piece","https://www.ebay.com/sch/i.html?_nkw=2025%20%23118%20Monkey%20D.%20Luffy%20PSA%2010%20OP11-A%20Fist%20of%20Divine%20Speed%20One%20Piece&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2025%20%23118%20Monkey%20D.%20Luffy%20PSA%2010%20OP11-A%20Fist%20of%20Divine%20Speed%20One%20Piece"
"2025 #P-072 Ryuma CGC 10 Pristine Premium Collection Best Selection Vol.3 - English","card","","","","https://collectorcrypt.com/marketplace?search=2025%20%23P-072%20Ryuma%20CGC%2010%20Pristine%20Premium%20Collection%20Best%20Selection%20Vol.3%20-%20English","https://www.tcgplayer.com/search/all/product?q=2025%20%23P-072%20Ryuma%20CGC%2010%20Pristine%20Premium%20Collection%20Best%20Selection%20Vol.3%20-%20English","https://www.ebay.com/sch/i.html?_nkw=2025%20%23P-072%20Ryuma%20CGC%2010%20Pristine%20Premium%20Collection%20Best%20Selection%20Vol.3%20-%20English&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2025%20%23P-072%20Ryuma%20CGC%2010%20Pristine%20Premium%20Collection%20Best%20Selection%20Vol.3%20-%20English"
"2025 #120 Sabo PSA 10 One Piece Japanese OP13-Carrying on His Will","card","","","","https://collectorcrypt.com/marketplace?search=2025%20%23120%20Sabo%20PSA%2010%20One%20Piece%20Japanese%20OP13-Carrying%20on%20His%20Will","https://www.tcgplayer.com/search/all/product?q=2025%20%23120%20Sabo%20PSA%2010%20One%20Piece%20Japanese%20OP13-Carrying%20on%20His%20Will","https://www.ebay.com/sch/i.html?_nkw=2025%20%23120%20Sabo%20PSA%2010%20One%20Piece%20Japanese%20OP13-Carrying%20on%20His%20Will&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2025%20%23120%20Sabo%20PSA%2010%20One%20Piece%20Japanese%20OP13-Carrying%20on%20His%20Will"
"2025 #173 Ditto PSA 10 Korean SV-P Promo Pokemon","card","","","","https://collectorcrypt.com/marketplace?search=2025%20%23173%20Ditto%20PSA%2010%20Korean%20SV-P%20Promo%20Pokemon","https://www.tcgplayer.com/search/all/product?q=2025%20%23173%20Ditto%20PSA%2010%20Korean%20SV-P%20Promo%20Pokemon","https://www.ebay.com/sch/i.html?_nkw=2025%20%23173%20Ditto%20PSA%2010%20Korean%20SV-P%20Promo%20Pokemon&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2025%20%23173%20Ditto%20PSA%2010%20Korean%20SV-P%20Promo%20Pokemon"
"2024 #ST03-013 Boa Hancock CGC 10 Pristine Premium Collection Best Selection Vol.2 - English","card","","","","https://collectorcrypt.com/marketplace?search=2024%20%23ST03-013%20Boa%20Hancock%20CGC%2010%20Pristine%20Premium%20Collection%20Best%20Selection%20Vol.2%20-%20English","https://www.tcgplayer.com/search/all/product?q=2024%20%23ST03-013%20Boa%20Hancock%20CGC%2010%20Pristine%20Premium%20Collection%20Best%20Selection%20Vol.2%20-%20English","https://www.ebay.com/sch/i.html?_nkw=2024%20%23ST03-013%20Boa%20Hancock%20CGC%2010%20Pristine%20Premium%20Collection%20Best%20Selection%20Vol.2%20-%20English&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2024%20%23ST03-013%20Boa%20Hancock%20CGC%2010%20Pristine%20Premium%20Collection%20Best%20Selection%20Vol.2%20-%20English"
"2023 #291 Full Art/Lucario Vstar CGC 10 Pristine Swsh Black Star Promo Pokemon","card","","","","https://collectorcrypt.com/marketplace?search=2023%20%23291%20Full%20Art%2FLucario%20Vstar%20CGC%2010%20Pristine%20Swsh%20Black%20Star%20Promo%20Pokemon","https://www.tcgplayer.com/search/all/product?q=2023%20%23291%20Full%20Art%2FLucario%20Vstar%20CGC%2010%20Pristine%20Swsh%20Black%20Star%20Promo%20Pokemon","https://www.ebay.com/sch/i.html?_nkw=2023%20%23291%20Full%20Art%2FLucario%20Vstar%20CGC%2010%20Pristine%20Swsh%20Black%20Star%20Promo%20Pokemon&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2023%20%23291%20Full%20Art%2FLucario%20Vstar%20CGC%2010%20Pristine%20Swsh%20Black%20Star%20Promo%20Pokemon"
"2024 #ST10-006 Monkey D. Luffy SR Treasure Booster CGC 10 Pristine Promotional Cards - English","card","","","","https://collectorcrypt.com/marketplace?search=2024%20%23ST10-006%20Monkey%20D.%20Luffy%20SR%20Treasure%20Booster%20CGC%2010%20Pristine%20Promotional%20Cards%20-%20English","https://www.tcgplayer.com/search/all/product?q=2024%20%23ST10-006%20Monkey%20D.%20Luffy%20SR%20Treasure%20Booster%20CGC%2010%20Pristine%20Promotional%20Cards%20-%20English","https://www.ebay.com/sch/i.html?_nkw=2024%20%23ST10-006%20Monkey%20D.%20Luffy%20SR%20Treasure%20Booster%20CGC%2010%20Pristine%20Promotional%20Cards%20-%20English&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2024%20%23ST10-006%20Monkey%20D.%20Luffy%20SR%20Treasure%20Booster%20CGC%2010%20Pristine%20Promotional%20Cards%20-%20English"
"2025 #119 Portgas D. Ace PSA 10 One Piece OP13-Carrying on His Will","card","","","","https://collectorcrypt.com/marketplace?search=2025%20%23119%20Portgas%20D.%20Ace%20PSA%2010%20One%20Piece%20OP13-Carrying%20on%20His%20Will","https://www.tcgplayer.com/search/all/product?q=2025%20%23119%20Portgas%20D.%20Ace%20PSA%2010%20One%20Piece%20OP13-Carrying%20on%20His%20Will","https://www.ebay.com/sch/i.html?_nkw=2025%20%23119%20Portgas%20D.%20Ace%20PSA%2010%20One%20Piece%20OP13-Carrying%20on%20His%20Will&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2025%20%23119%20Portgas%20D.%20Ace%20PSA%2010%20One%20Piece%20OP13-Carrying%20on%20His%20Will"
"2024 #006 Monkey D. Luffy PSA 10 One Piece Promos","card","","","","https://collectorcrypt.com/marketplace?search=2024%20%23006%20Monkey%20D.%20Luffy%20PSA%2010%20One%20Piece%20Promos","https://www.tcgplayer.com/search/all/product?q=2024%20%23006%20Monkey%20D.%20Luffy%20PSA%2010%20One%20Piece%20Promos","https://www.ebay.com/sch/i.html?_nkw=2024%20%23006%20Monkey%20D.%20Luffy%20PSA%2010%20One%20Piece%20Promos&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2024%20%23006%20Monkey%20D.%20Luffy%20PSA%2010%20One%20Piece%20Promos"
"2023 #199 Charizard EX PSA 9 Mew EN-151 Pokemon","card","","","","https://collectorcrypt.com/marketplace?search=2023%20%23199%20Charizard%20EX%20PSA%209%20Mew%20EN-151%20Pokemon","https://www.tcgplayer.com/search/all/product?q=2023%20%23199%20Charizard%20EX%20PSA%209%20Mew%20EN-151%20Pokemon","https://www.ebay.com/sch/i.html?_nkw=2023%20%23199%20Charizard%20EX%20PSA%209%20Mew%20EN-151%20Pokemon&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2023%20%23199%20Charizard%20EX%20PSA%209%20Mew%20EN-151%20Pokemon"
"2024 #159 Magneton PSA 10 Svp EN-SV Black Star Promo Pokemon","card","","","","https://collectorcrypt.com/marketplace?search=2024%20%23159%20Magneton%20PSA%2010%20Svp%20EN-SV%20Black%20Star%20Promo%20Pokemon","https://www.tcgplayer.com/search/all/product?q=2024%20%23159%20Magneton%20PSA%2010%20Svp%20EN-SV%20Black%20Star%20Promo%20Pokemon","https://www.ebay.com/sch/i.html?_nkw=2024%20%23159%20Magneton%20PSA%2010%20Svp%20EN-SV%20Black%20Star%20Promo%20Pokemon&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2024%20%23159%20Magneton%20PSA%2010%20Svp%20EN-SV%20Black%20Star%20Promo%20Pokemon"
"2023 #053 Mew EX PSA 9 Svp EN-SV Black Star Promo Pokemon","card","","","","https://collectorcrypt.com/marketplace?search=2023%20%23053%20Mew%20EX%20PSA%209%20Svp%20EN-SV%20Black%20Star%20Promo%20Pokemon","https://www.tcgplayer.com/search/all/product?q=2023%20%23053%20Mew%20EX%20PSA%209%20Svp%20EN-SV%20Black%20Star%20Promo%20Pokemon","https://www.ebay.com/sch/i.html?_nkw=2023%20%23053%20Mew%20EX%20PSA%209%20Svp%20EN-SV%20Black%20Star%20Promo%20Pokemon&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2023%20%23053%20Mew%20EX%20PSA%209%20Svp%20EN-SV%20Black%20Star%20Promo%20Pokemon"
"2023 #007 Squirtle PSA 10 Japanese Sv2a- 151 Pokemon","card","","","","https://collectorcrypt.com/marketplace?search=2023%20%23007%20Squirtle%20PSA%2010%20Japanese%20Sv2a-%20151%20Pokemon","https://www.tcgplayer.com/search/all/product?q=2023%20%23007%20Squirtle%20PSA%2010%20Japanese%20Sv2a-%20151%20Pokemon","https://www.ebay.com/sch/i.html?_nkw=2023%20%23007%20Squirtle%20PSA%2010%20Japanese%20Sv2a-%20151%20Pokemon&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2023%20%23007%20Squirtle%20PSA%2010%20Japanese%20Sv2a-%20151%20Pokemon"
"2025 #113 Jewelry Bonney PSA 10 One Piece Japanese Mini-Tin Pack Set Vol.2","card","","","","https://collectorcrypt.com/marketplace?search=2025%20%23113%20Jewelry%20Bonney%20PSA%2010%20One%20Piece%20Japanese%20Mini-Tin%20Pack%20Set%20Vol.2","https://www.tcgplayer.com/search/all/product?q=2025%20%23113%20Jewelry%20Bonney%20PSA%2010%20One%20Piece%20Japanese%20Mini-Tin%20Pack%20Set%20Vol.2","https://www.ebay.com/sch/i.html?_nkw=2025%20%23113%20Jewelry%20Bonney%20PSA%2010%20One%20Piece%20Japanese%20Mini-Tin%20Pack%20Set%20Vol.2&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2025%20%23113%20Jewelry%20Bonney%20PSA%2010%20One%20Piece%20Japanese%20Mini-Tin%20Pack%20Set%20Vol.2"
"NECROVALLEY PGD-084 PHARAONIC GUARDIAN | 1ST EDITION 2003 PSA 10","card","","","","https://collectorcrypt.com/marketplace?search=NECROVALLEY%20PGD-084%20PHARAONIC%20GUARDIAN%20%7C%201ST%20EDITION%202003%20PSA%2010","https://www.tcgplayer.com/search/all/product?q=NECROVALLEY%20PGD-084%20PHARAONIC%20GUARDIAN%20%7C%201ST%20EDITION%202003%20PSA%2010","https://www.ebay.com/sch/i.html?_nkw=NECROVALLEY%20PGD-084%20PHARAONIC%20GUARDIAN%20%7C%201ST%20EDITION%202003%20PSA%2010&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=NECROVALLEY%20PGD-084%20PHARAONIC%20GUARDIAN%20%7C%201ST%20EDITION%202003%20PSA%2010"
"2024 Pokemon Chinese Sword & Shield Shadow Of Glory Holo Radiant Blastoise #15 PSA 10 GEM MINT","card","","","","https://collectorcrypt.com/marketplace?search=2024%20Pokemon%20Chinese%20Sword%20%26%20Shield%20Shadow%20Of%20Glory%20Holo%20Radiant%20Blastoise%20%2315%20PSA%2010%20GEM%20MINT","https://www.tcgplayer.com/search/all/product?q=2024%20Pokemon%20Chinese%20Sword%20%26%20Shield%20Shadow%20Of%20Glory%20Holo%20Radiant%20Blastoise%20%2315%20PSA%2010%20GEM%20MINT","https://www.ebay.com/sch/i.html?_nkw=2024%20Pokemon%20Chinese%20Sword%20%26%20Shield%20Shadow%20Of%20Glory%20Holo%20Radiant%20Blastoise%20%2315%20PSA%2010%20GEM%20MINT&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2024%20Pokemon%20Chinese%20Sword%20%26%20Shield%20Shadow%20Of%20Glory%20Holo%20Radiant%20Blastoise%20%2315%20PSA%2010%20GEM%20MINT"
"2026 Pokemon Mega Promo First Partner Illustration S1 Full Art Piplup #42 CGC 10 PRISTINE","card","","","","https://collectorcrypt.com/marketplace?search=2026%20Pokemon%20Mega%20Promo%20First%20Partner%20Illustration%20S1%20Full%20Art%20Piplup%20%2342%20CGC%2010%20PRISTINE","https://www.tcgplayer.com/search/all/product?q=2026%20Pokemon%20Mega%20Promo%20First%20Partner%20Illustration%20S1%20Full%20Art%20Piplup%20%2342%20CGC%2010%20PRISTINE","https://www.ebay.com/sch/i.html?_nkw=2026%20Pokemon%20Mega%20Promo%20First%20Partner%20Illustration%20S1%20Full%20Art%20Piplup%20%2342%20CGC%2010%20PRISTINE&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2026%20Pokemon%20Mega%20Promo%20First%20Partner%20Illustration%20S1%20Full%20Art%20Piplup%20%2342%20CGC%2010%20PRISTINE"
"2021 #SV107 Full Art/Charizard Vmax PSA 10 Sword & Shield Shining Fates","card","","","","https://collectorcrypt.com/marketplace?search=2021%20%23SV107%20Full%20Art%2FCharizard%20Vmax%20PSA%2010%20Sword%20%26%20Shield%20Shining%20Fates","https://www.tcgplayer.com/search/all/product?q=2021%20%23SV107%20Full%20Art%2FCharizard%20Vmax%20PSA%2010%20Sword%20%26%20Shield%20Shining%20Fates","https://www.ebay.com/sch/i.html?_nkw=2021%20%23SV107%20Full%20Art%2FCharizard%20Vmax%20PSA%2010%20Sword%20%26%20Shield%20Shining%20Fates&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2021%20%23SV107%20Full%20Art%2FCharizard%20Vmax%20PSA%2010%20Sword%20%26%20Shield%20Shining%20Fates"
"2025 #070 Carrot PSA 10 One Piece Championship 2025-26 Event Pack","card","","","","https://collectorcrypt.com/marketplace?search=2025%20%23070%20Carrot%20PSA%2010%20One%20Piece%20Championship%202025-26%20Event%20Pack","https://www.tcgplayer.com/search/all/product?q=2025%20%23070%20Carrot%20PSA%2010%20One%20Piece%20Championship%202025-26%20Event%20Pack","https://www.ebay.com/sch/i.html?_nkw=2025%20%23070%20Carrot%20PSA%2010%20One%20Piece%20Championship%202025-26%20Event%20Pack&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2025%20%23070%20Carrot%20PSA%2010%20One%20Piece%20Championship%202025-26%20Event%20Pack"
"2026 Pokemon Mega Promo First Partner Illustration S1 Full Art Charmander #38 CGC 10 GEM MINT","card","","","","https://collectorcrypt.com/marketplace?search=2026%20Pokemon%20Mega%20Promo%20First%20Partner%20Illustration%20S1%20Full%20Art%20Charmander%20%2338%20CGC%2010%20GEM%20MINT","https://www.tcgplayer.com/search/all/product?q=2026%20Pokemon%20Mega%20Promo%20First%20Partner%20Illustration%20S1%20Full%20Art%20Charmander%20%2338%20CGC%2010%20GEM%20MINT","https://www.ebay.com/sch/i.html?_nkw=2026%20Pokemon%20Mega%20Promo%20First%20Partner%20Illustration%20S1%20Full%20Art%20Charmander%20%2338%20CGC%2010%20GEM%20MINT&LH_Sold=1&LH_Complete=1","https://www.pricecharting.com/search-products?q=2026%20Pokemon%20Mega%20Promo%20First%20Partner%20Illustration%20S1%20Full%20Art%20Charmander%20%2338%20CGC%2010%20GEM%20MINT"
