Collector Crypt marketplace depth scout: 1210/1210 pages, 4783 distinct card+grade groups

TOP 40 BY LISTING DEPTH (all categories)
  29 listings | floor $    10.00 | median $    88.00 | 2026 Birb Vibes TCG Promo #1
  15 listings | floor $    83.00 | median $   105.00 | 2021 #001 Full Art/Pikachu PSA 10 Japanese 25th Anniversary Collection
  12 listings | floor $    30.00 | median $    44.50 | 2026 #30 Mega Charizard Y EX CGC 10 Pokemon Mega Evolution Black Star 
  11 listings | floor $    85.00 | median $    95.00 | 2021 #144 Greninja-Gold Star PSA 9 Swsh Black Star Promo Pokemon
  11 listings | floor $    55.00 | median $    75.00 | 2023 #ST01-002 Usopp CGC 10 Pristine Premium Collection FILM RED (Foil
  10 listings | floor $   190.00 | median $   275.00 | 2024 #043 Monkey D. Luffy PSA 10 One Piece Promos
  10 listings | floor $   150.00 | median $   177.50 | BLACK ILLUSION RITUAL MRL-051 MAGIC RULER | 1ST EDITION 2002 PSA 10
   9 listings | floor $   389.00 | median $   415.00 | 2019 #SM210 Full Art/Moltres & Zapdos & Articuno GX PSA 10 SM Black St
   9 listings | floor $    80.00 | median $   100.00 | 2026 #P-075 Monkey D. Luffy CGC 10 Pristine Tin Pack Vol.2 (Coins In B
   9 listings | floor $   116.00 | median $  3000.00 | 2025 #118 Monkey D. Luffy PSA 10 OP11-A Fist of Divine Speed One Piece
   9 listings | floor $   260.00 | median $   260.00 | 2025 #P-072 Ryuma CGC 10 Pristine Premium Collection Best Selection Vo
   8 listings | floor $   255.00 | median $   260.00 | 2025 #120 Sabo PSA 10 One Piece Japanese OP13-Carrying on His Will
   8 listings | floor $    36.00 | median $    60.00 | 2026 Pokemon Mega Evolution Promo Tin Mega Charizard X ex #29 CGC 10 G
   8 listings | floor $    36.99 | median $    74.50 | 2025 #013 Mega Charizard X ex CGC 10 Pristine Inferno X - M2 - Japanes
   8 listings | floor $   361.00 | median $   450.00 | 2025 #173 Ditto PSA 10 Korean SV-P Promo Pokemon
   8 listings | floor $    55.00 | median $    86.50 | 2025 #013 Mega Charizard X EX PSA 10 Japanese M2-Inferno X Pokemon
   8 listings | floor $    40.00 | median $    68.00 | 2025 #020 Pikachu PSA 9 Japanese M-P Promo
   8 listings | floor $   110.00 | median $   150.00 | 2024 #ST03-013 Boa Hancock CGC 10 Pristine Premium Collection Best Sel
   8 listings | floor $    40.00 | median $    58.50 | 2025 #105 JAPANESE SV BATTLE PARTNERS AR LILLIE'S RIBOMBEE CGC 10 POKE
   8 listings | floor $   185.00 | median $   230.00 | 2023 #291 Full Art/Lucario Vstar CGC 10 Pristine Swsh Black Star Promo
   7 listings | floor $   100.00 | median $   130.00 | 2024 #ST10-006 Monkey D. Luffy SR Treasure Booster CGC 10 Pristine Pro
   7 listings | floor $    14.00 | median $    25.00 | 2019 Pokemon Japanese Playing Cards Old Maid Meowth CGC 10 PRISTINE
   7 listings | floor $    37.00 | median $    45.00 | 2026 Pokemon Mega Promo Ascended Heroes Premium Poster Full Art Mega L
   7 listings | floor $    46.00 | median $    50.00 | 2026 Pokemon Scarlet & Violet Temporal Forces Day Collection Pikachu #
   7 listings | floor $    33.33 | median $    60.00 | 2025 #OP10-003 Sugar CGC 10 Pristine Promotional Cards - Japanese
   7 listings | floor $   135.00 | median $   300.00 | 2025 #119 Portgas D. Ace PSA 10 One Piece OP13-Carrying on His Will
   7 listings | floor $    90.00 | median $    96.00 | 2025 #022 Haunter PSA 10 Japanese Mbg-Mega Starter Set Mega Gengar EX 
   7 listings | floor $    65.00 | median $    75.00 | 2024 #OP10-118 SEC Monkey D. Luffy CGC 10 PRISTINE Royal Blood One Pie
   6 listings | floor $    64.00 | median $    76.50 | 2024 #203 Ceruledge EX PSA 10 Japanese Sv8a-Terastal Fest EX Pokemon
